,3146.0,3147.0,3148.0,3149.0,3150.0
Call  Failure,21.0,17.0,13.0,7.0,8.0
Complains,0.0,0.0,0.0,0.0,1.0
Subscription  Length,19.0,17.0,18.0,11.0,11.0
Charge  Amount,2.0,1.0,4.0,2.0,2.0
Seconds of Use,6697.0,9237.0,3157.0,4695.0,1792.0
Frequency of use,147.0,177.0,51.0,46.0,25.0
Frequency of SMS,92.0,80.0,38.0,222.0,7.0
Distinct Called Numbers,44.0,42.0,21.0,12.0,9.0
Age Group,2.0,5.0,3.0,3.0,3.0
Tariff Plan,2.0,1.0,1.0,1.0,1.0
Status,1.0,1.0,1.0,1.0,1.0
Churn,0.0,0.0,0.0,0.0,1.0
Customer Value,342.765,50.185,106.11,207.45,55.86
